C:\Users\23590\Anaconda3\python.exe C:/Users/23590/level4-project/template/src/individual-classification/classify_BRCA_BLCA.py
15     BLCA
16     BLCA
17     BLCA
18     BLCA
19     BLCA
       ... 
241    BRCA
242    BRCA
243    BRCA
244    BRCA
245    BRCA
Name: organ, Length: 924, dtype: object
15     BLCA
16     BLCA
17     BLCA
18     BLCA
19     BLCA
       ... 
241    BRCA
242    BRCA
243    BRCA
244    BRCA
245    BRCA
Name: organ, Length: 231, dtype: object
17     BLCA
18     BLCA
19     BLCA
20     BLCA
21     BLCA
       ... 
251    BRCA
252    BRCA
253    BRCA
254    BRCA
255    BRCA
Name: organ, Length: 239, dtype: object
(924, 49) (924, 2)
Epoch: 45, Loss: 0.01652, Train Accuracy: 0.98384, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 46, Loss: 0.01621, Train Accuracy: 0.98384, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 47, Loss: 0.01592, Train Accuracy: 0.98384, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 48, Loss: 0.01563, Train Accuracy: 0.98491, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 49, Loss: 0.01536, Train Accuracy: 0.98491, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 50, Loss: 0.01509, Train Accuracy: 0.98707, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 51, Loss: 0.01483, Train Accuracy: 0.98707, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 52, Loss: 0.01458, Train Accuracy: 0.98707, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 53, Loss: 0.01434, Train Accuracy: 0.98707, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 54, Loss: 0.01410, Train Accuracy: 0.98815, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 55, Loss: 0.01387, Train Accuracy: 0.98815, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 56, Loss: 0.01365, Train Accuracy: 0.98815, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 57, Loss: 0.01344, Train Accuracy: 0.98815, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 58, Loss: 0.01323, Train Accuracy: 0.98815, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 59, Loss: 0.01303, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 60, Loss: 0.01283, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 61, Loss: 0.01264, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 62, Loss: 0.01246, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 63, Loss: 0.01227, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 64, Loss: 0.01210, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 65, Loss: 0.01193, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 66, Loss: 0.01176, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 67, Loss: 0.01160, Train Accuracy: 0.98815, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 68, Loss: 0.01144, Train Accuracy: 0.98815, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 69, Loss: 0.01129, Train Accuracy: 0.98815, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 70, Loss: 0.01114, Train Accuracy: 0.98815, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 71, Loss: 0.01099, Train Accuracy: 0.98815, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 72, Loss: 0.01085, Train Accuracy: 0.99030, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 73, Loss: 0.01071, Train Accuracy: 0.99030, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 74, Loss: 0.01057, Train Accuracy: 0.99030, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
